HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.choice,Approve,Reject
31S7M7DAGHYTMU3J0K3MY8OL5SKTLL,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,30MVJZJNHOL7U84ZPVRUGC5556KJ9F,A2J62BRLYSAI7R,Approved,Tue Aug 14 18:47:20 PDT 2018,Tue Aug 14 18:47:23 PDT 2018,Fri Aug 17 18:47:23 PDT 2018,Tue Aug 14 19:40:36 PDT 2018,,,3,100% (31/31),100% (31/31),100% (31/31),liveoiiSl:livemSkpP.png,optionA,,
31S7M7DAGHYTMU3J0K3MY8OL5SKTLL,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3DEL4X4EL8TNQTHWEBYB626BPDKYX7,AF3EMBTO817L3,Approved,Tue Aug 14 18:46:54 PDT 2018,Tue Aug 14 18:46:58 PDT 2018,Fri Aug 17 18:46:58 PDT 2018,Tue Aug 14 19:40:36 PDT 2018,,,4,100% (11/11),100% (11/11),100% (11/11),liveoiiSl:livemSkpP.png,optionA,,
31S7M7DAGHYTMU3J0K3MY8OL5SKTLL,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3M0NZ3JDP36ET07R4RHZSQOT28EZ5P,A2JFK6KAWDU0KA,Approved,Tue Aug 14 18:47:30 PDT 2018,Tue Aug 14 18:50:34 PDT 2018,Fri Aug 17 18:50:34 PDT 2018,Tue Aug 14 19:40:36 PDT 2018,,,184,100% (34/34),100% (34/34),100% (34/34),liveoiiSl:livemSkpP.png,optionA,,
31S7M7DAGHYTMU3J0K3MY8OL5SKTLL,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3OONKJ5DKER4JCAT3SXVFEHHS0YBO1,A4OSD2M2N5WD2,Approved,Tue Aug 14 18:48:24 PDT 2018,Tue Aug 14 18:48:35 PDT 2018,Fri Aug 17 18:48:35 PDT 2018,Tue Aug 14 19:40:37 PDT 2018,,,11,100% (2/2),100% (2/2),100% (2/2),liveoiiSl:livemSkpP.png,optionA,,
31S7M7DAGHYTMU3J0K3MY8OL5SKTLL,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3PXX5PX6LZ6FH8GST9SDEJXC3JUBA2,A30BPQ2QGZOXN8,Approved,Tue Aug 14 18:47:38 PDT 2018,Tue Aug 14 18:47:42 PDT 2018,Fri Aug 17 18:47:42 PDT 2018,Tue Aug 14 19:40:37 PDT 2018,,,4,100% (14/14),100% (14/14),100% (14/14),liveoiiSl:livemSkpP.png,optionA,,
31S7M7DAGHYTMU3J0K3MY8OL5SKTLL,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3SUWZRL0M0LC19G9DNDRZM1BAXHE6F,A3FZXJCTN0NZWJ,Approved,Tue Aug 14 18:47:57 PDT 2018,Tue Aug 14 18:48:01 PDT 2018,Fri Aug 17 18:48:01 PDT 2018,Tue Aug 14 19:40:37 PDT 2018,,,4,100% (17/17),100% (17/17),100% (17/17),liveoiiSl:livemSkpP.png,optionA,,
329E6HTMSXAD37N705LU1V78MT33KC,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:40 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:40 PDT 2018,,,37FMASSAYEZUNQZQ5XKQVHLVGRZBI6,A2J62BRLYSAI7R,Approved,Tue Aug 14 18:48:00 PDT 2018,Tue Aug 14 18:48:04 PDT 2018,Fri Aug 17 18:48:04 PDT 2018,Tue Aug 14 19:40:16 PDT 2018,,,4,100% (31/31),100% (31/31),100% (31/31),live4o2ot:live1VkMU.png,optionA,,
329E6HTMSXAD37N705LU1V78MT33KC,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:40 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:40 PDT 2018,,,3RXCAC0YITXXP1VOCX0DJ3IET8M8GC,A1P8K83P1987GB,Approved,Tue Aug 14 18:47:26 PDT 2018,Tue Aug 14 18:47:30 PDT 2018,Fri Aug 17 18:47:30 PDT 2018,Tue Aug 14 19:40:16 PDT 2018,,,4,100% (33/33),100% (33/33),100% (33/33),live4o2ot:live1VkMU.png,optionA,,
32TMVRKDGO6EQ24ARUTALVQN5T584J,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,35H6S234SC8C5QNG2MKOVSVYX4I565,A2LWBCHIJ4STE5,Approved,Tue Aug 14 18:48:21 PDT 2018,Tue Aug 14 18:48:28 PDT 2018,Fri Aug 17 18:48:28 PDT 2018,Tue Aug 14 19:40:24 PDT 2018,,,7,100% (2/2),100% (2/2),100% (2/2),liveK6dPs:livekq2IY.png,optionA,,
32TMVRKDGO6EQ24ARUTALVQN5T584J,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3TU5ZICBRF9O2QP2FT5PDHMGZVV8Q7,A1F01FVEPYCPHO,Approved,Tue Aug 14 18:48:11 PDT 2018,Tue Aug 14 18:48:43 PDT 2018,Fri Aug 17 18:48:43 PDT 2018,Tue Aug 14 19:40:25 PDT 2018,,,32,100% (21/21),100% (21/21),100% (21/21),liveK6dPs:livekq2IY.png,optionA,,
32TMVRKDGO6EQ24ARUTALVQN5T584J,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3VBEN272MM7F8LAXQV6I0UIF52TGSK,A3DIUIYXBJIKQN,Approved,Tue Aug 14 18:48:15 PDT 2018,Tue Aug 14 18:48:20 PDT 2018,Fri Aug 17 18:48:20 PDT 2018,Tue Aug 14 19:40:25 PDT 2018,,,5,100% (22/22),100% (22/22),100% (22/22),liveK6dPs:livekq2IY.png,optionA,,
33NOQL7T9P7UTZSZCNJ0FR3W6O7Z8L,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,33F859I568LURVO6ZF25V5KGGEKBHD,A7OJ3K7Y0B848,Approved,Tue Aug 14 18:48:31 PDT 2018,Tue Aug 14 18:48:39 PDT 2018,Fri Aug 17 18:48:39 PDT 2018,Tue Aug 14 19:40:37 PDT 2018,,,8,100% (1/1),100% (1/1),100% (1/1),livef3xCx:live9OxXe.png,optionA,,
33NOQL7T9P7UTZSZCNJ0FR3W6O7Z8L,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,34BBWHLWHCJMBTX10OGMIVYGQSGIWS,A2J62BRLYSAI7R,Approved,Tue Aug 14 18:46:23 PDT 2018,Tue Aug 14 18:46:29 PDT 2018,Fri Aug 17 18:46:29 PDT 2018,Tue Aug 14 19:40:37 PDT 2018,,,6,100% (31/31),100% (31/31),100% (31/31),livef3xCx:live9OxXe.png,optionA,,
33NOQL7T9P7UTZSZCNJ0FR3W6O7Z8L,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3MHW492WW2LVSNNNVT9IOMMJ0SYVMB,A3DIUIYXBJIKQN,Approved,Tue Aug 14 18:46:24 PDT 2018,Tue Aug 14 18:46:34 PDT 2018,Fri Aug 17 18:46:34 PDT 2018,Tue Aug 14 19:40:37 PDT 2018,,,10,100% (22/22),100% (22/22),100% (22/22),livef3xCx:live9OxXe.png,optionA,,
